s_no,article_title,article_body
171,7.9. ANTIMICROBIAL RESISTANCE,"Why in news? The First Multicentric Point Prevalence Survey of Antibiotic Use  was released recently by the National Centre for Disease Control under the Union Health Ministry. About the survey • The survey has mapped the patients treated across 15 States and two Union Territories between November 2021 and April 2022. • Key Findings : o Empirical prescriptions:  94% of patients surveyed were given antibiotics before medical diagnosis of cause of infection. o Preventive usage:  55% of patients were prescribed antibiotics for preventive indications, while 45% for therapeutic indications. o High prevalence of antibiotic usage: At 71.9% . o Classification of prescriptions based on AWaRe groups:  57% from watch groups, 38% from access group and 2% from reserve group. ✓ 3% of the prescription from not recommended group. o Only 8 out of 20 institutes  surveyed have an antibiotic policy in place. • The high use of watch group antibiotics raises concern as these antibiotics have a higher potential to develop antibiotic resistance.  102                                                                                          www.visionias.in                                                                                    ©Vision IAS  About Antimicrobial resistance (AMR) • AMR happens when germs like bacteria and fungi develop the ability to defeat the drugs  designed to kill them. o While some  microorganisms are naturally resistant to a certain type of antimicrobials, they can also acquire resistance genes, whether by spontaneous mutation or through genetic exchange. • Reasons behind increasing incidence of Antimicrobial resistance o Overuse and misuse of antimicrobials among humans and in poultry and farm animals. o Poor infection prevention and control practices in healthcare settings o Effluents discharge from hospitals, industries, and urban settlements ✓ Over 75% of administered antibiotics are excreted unmetabolized in urine and faeces and enter into sewage systems and water bodies. o Confusion over treatment guidelines. ✓ E.g., the optimal duration of antibiotic therapy for common infections like pneumonia was not established for decades. Implications of the Spread of Antimicrobial Resistance • Healthcare Impact: Increased mortality and morbidity, and prolonged illness because infections caused by resistant microorganisms are often more difficult to treat. • Increased Healthcare Costs: Longer hospital stays, additional diagnostic tests, and more expensive second -line or third -line antibiotics leads to increased expenditure. • Economic impact: Working hours lost due to prolonged illness and increase in out -of-pocket expenditure. o If not controlled,  antimicrobial resistance  will result in US$ 1 trillion to 3.4 trillion annual losses to gross domestic product (GDP)  by 2030. (World Bank) • Increased risk of outbreaks : As current medicines become ineffective, infections persist in the body, increasing the risk of spreading to others. • Limited new options for treatment: There are limited new antibiotics in the research and development pipeline. Measures taken to address AMR National • National Program on AMR containment: Launched  during 12th FYP in 2012 -17 to carry out surveillance of antimicrobial usage in healthcare settings . o It is coordinated by National Centre for Disease Control. • National Action Plan on AMR (NAP – AMR), 2017:  Focuses on One Health approach and involving various stakeholder ministries/departments.  103                                                                                          www.visionias.in                                                                                    ©Vision IAS  • National AMR surveillance network of state medical college labs (NARS -Net):  To generate quality data on AMR for priority bacterial pathogens of public health importance. • Red Line awareness campaign: Urging people not to use medicines marked with a red vertical line, including antibiotics, without a doctor’s prescription. • Drugs and Cosmetics Rules, 1945: Antibiotics included in Schedule H1 of the rules are required to be sold by retail only under the prescription of a Registered Medical Practitioner. • Ban on inappropriate fixed dose combinations (FDCs). • Operation AMRITH  (AMR Intervention For Total Health) launched by Kerala to detect the over -the-counter sales of antibiotics without a doctor’s prescription . o In 2018 , Kerala became the first state in India to come up with the Kerala Anti - Microbial Resistance Strategic Action Plan (KARSAP),  which is aligned with India’s NAP – AMR . Global • Global Antimicrobial Resistance and Use Surveillance System (GLASS): Launched in 2015,  it is a comprehensive global system designed to monitor antimicrobial resistance and support appropriate use of antibiotics worldwide. • World Antimicrobial Awareness Week (WAAW): A global campaign to raise awareness, understanding and best practices with the public, One Health stakeholders, and other policymakers. Way forward • Promote the judicious use of drugs : For instance, Union Health Ministry has called on doctors in medical colleges and medical associations to make it mandatory to mention the indication and reason for prescribing antibiotics. • Strict implementations of  Drugs and Cosmetics Rules, 1945: Recently, the Director General of Health Services (DGHS)  has urged  all pharmacist associations to adhere to the rules and sell antibiotics only with valid prescriptions. • Adherence to standard treatment guidelines and infection control practices : To mitigate antibiotic resistance. • Defined Antibiotic Use Policy in medical institutes : It should encourage use of access group antibiotics and  keep the consumption of reserve group antibiotics at low levels. • Surveillance and Monitoring of Pathogens: For early detection of resistant strains. • Robust Immunisation Programmes : The incidence of bacterial and viral infections can be reduced by the adoption of strategies and programmes on the prevention and control of infectious diseases. • Curbing the Production and Sale of Poor Quality and Sub -standard Antimicrobials: Continuous exposure of bacteria to a sub -therapeutic level of drugs, which is achieved with the use of substandard antimicrobials, always triggers the development of resistance. • Promote use of alternatives to Antibiotics:  In the animal feed industry. • Educational and Awareness Programme:  Strengthen information and resources by involving all stakeholders i.e., policymakers, pharmaceutical industries, medical and veterinary professionals, producers and consumers."
172,7.10. FIXED -DOSE COMBINATIONS (FDCS) DRUGS,"Why in news? The Central Drugs Standard Control Organization (CDSCO) has allowed companies to manufacture and market five fixed dose combinations (FDCs) that were banned last year. More on News • These five drugs are allowed to manufacture and sale with certain conditions  which include o Providing safety and efficacy data  on three drugs within one year. o Two need their dosage and information labels adjusted . • Earlier, in a similar move, Central government banned 344 combinations in 2016 , citing public interest.   104                                                                                          www.visionias.in                                                                                    ©Vision IAS  About Fixed Dose Combinations (FDCs) Drugs • As per Rule 122 -E of Drugs & Cosmetics Rule 1945 , FDCs refer to products containing two or more active ingredients used for a particular indication(s). • An FDC is a new drug when it meets two conditions o It combines two or more drugs already approved  for individual use in a fixed ratio. o It alters the ratio of drugs in an already approved FDC , along with making changes to its claims • Mostly FDCs are in combinations of cough, cold, and fever preparations ; antimicrobials; vitamins and minerals etc. • In 2015, out of 376 entities, 24 entities were FDCs in National List of Essential Medicine. Rationale for Usage of FDCs: • Enhanced efficacy:  In some cases, combining specific drugs in a fixed ratio can achieve better therapeutic outcomes than using them individually. • Cost -effectiveness:  FDCs can sometimes be more affordable than purchasing individual medications separately, particularly in developing countries. • Reduced pill burden:  Taking fewer pills can improve convenience and patient compliance, especially for those with multiple chronic conditions. • Improved adherence:  Combining multiple medications into one pill can simplify treatment regimens, leading to improved medication adherence, especially for chronic conditions. • Improved patient convenience : Taking fewer pills can improve convenience and quality of life for patients,  especially those with multiple chronic conditions who might otherwise struggle with complex medication regimens. Issues associated with FDCs: • Lack of individual dose flexibility:  FDCs offer a fixed dose of each component, which may not be suitable for all patients, especially those requiring different dosages due to age, weight, or other factors. • Unapproved and Banned FDCs : The easy access to untested and unlicensed FDCs in countries like India creates a potentially hazardous situation for public health. o For example, a study conducted in Ahmedabad, revealed that FDCs containing banned or controversial ingredients are prescribed widely. • Increased risk of Anti -microbial Resistance (AMR) : Combining medications in FDCs raises the risk of adverse events and AMR due to potential interactions and overuse. • Reduced transparency and affordability concerns: In some cases, FDCs may be priced higher than their individual components, raising concerns in resource -limited settings. • Ethical concern: India imposed ban on certain FDCs, however, there is no ban on same drugs being exported to African or SAARC countries. Their export is deemed legal if the importing country has no objections. • Limited choice for patients:  The fixed combination may not always be the most suitable for individual patient needs, limiting treatment options.  105                                                                                          www.visionias.in                                                                                    ©Vision IAS  Way Forward • Regulatory Stringency : CDSCO should enforce stringent guidelines for FDC approval to protect public health and ensure the efficacy and safety of drugs. • Evidence -Driven Authorization: Require robust scientific evidence of FDC efficacy and safety to prevent unjustifiable combinations and enhance regulatory scrutiny. • Therapeutic Justification: Grant approval for FDCs only when individual components offer clear therapeutic benefits, avoiding unnecessary amalgamations. • Surveillance Systems: Establish vigilant post -market monitoring mechanisms for prompt detection and resolution of FDC-related adverse effects, prioritizing public safety. • Export Control Stringency: Harmonize export policies with domestic regulations to prohibit the overseas export of domestically banned or restricted FDCs . • Advocate Transparency and Affordability: Promote openness and cost transparency, facilitating generic availability of FDCs to enhance affordability, particularly in resource -constrained regions. • Public Awareness: Educate healthcare professionals and the public on the judicious use of FDCs, promoting responsible medication practices."
173,7.11. NEWS IN SHORTS,
174,7.11.1. SQUARE KILOMETRE ARRAY,
175,OBSERVATORY (SKAO) PROJECT,"• Union Cabinet approves Rs 1,250 cr for India's participation in Square Kilometre Array Observatory (SKAO) Project. • SKAO  is an intergovernmental organisation  dedicated to radio astronomy, headquartered in United Kingdom. o SKAO will consist of one global observatory, operating two telescopes, across three sites. ✓ Two SKA telescopes will be at radio -quiet sites in South Africa and Australia. ✓ They will operate as one large unit. o They are  expected to be operational by 2029. • Objectives of SKAO: o Understand about the birth of Universe. o Detect Gravitational Waves. ✓ A gravitational wave is an invisible ripple in space. o Understand the evolution  of Galaxies, Dark matter and Cosmic Magnetism . • India  joined SKAO in 2012 as an Associate Member and has actively participated in the pre -construction phase of the SKA telescopes. o In 2022, the National Centre for Radio Astronomy, Pune  and SKAO signed cooperation agreement. o Giant Metre wave Radio Telescope (GMRT) is playing role in  SKAO. • Significance for India:  Will allow Indian astronomers direct access to the best radio astronomy facility in the world in the future. o Also, it will drive growth of technologies several key areas, ranging from antennas and electronics to data and software, including areas like artificial intelligence .  Steps taken in India • Sin Tax on demerit goods: It is placed on goods and services that are seen to be socially detrimental. Thus, Tobacco, gambling ventures, alcohol, cigarettes, and other things  are examples of products that are subject to a sin tax. o Presently, the  aerated beverages in India , irrespective of the quantum of “added sugar” in them,  are taxed at the highest tax bracket of 28%"
176,GST.,"o High -Fat Sugar Salt (HFSS) foods  in India attract  12% tax rate. • Fat Tax of Kerala: Kerala had also introduced a fat tax way back in 2016, which later got incorporated into Goods and Services Tax in 2017."
177,7.11. 2. OSIRIS -APEX,"• OSIRIS REx  (Origins, Spectral Interpretation, Resource Identification and Security -Regolith Explorer) is embarking on a new mission as OSIRIS -APEX (Apophis Explorer) o  Recently, OSIRIS REx  delivered a sample from asteroid Bennu ."
178,• OSIRIS -APEX,o It will study Apophis  when it will be closest to Planet Earth i.e. 20000 miles. ✓ Apophis is an  S-type asteroid  made of silicate materials and nickel -iron. o The mission aims to observe the physical changes in asteroid Apophis induced by Earth’s gravitational pull . o Space Agency : NASA 106                                                                                          www.visionias.in                                                                                    ©Vision IAS  7.11. 3. PEREGRINE MISSION 1
179,(PEREGRINE LUNAR LANDER),"• NASA launched Peregrine Lunar Lander to explore Moon’s Bay of Stickness. • Mission is part of Nasa's Commercial Lunar Payload Services  initiative , which partners with commercial entities to deliver payloads to Moon. • Scientific goals of mission include: o To analyze lunar exosphere. o Assess thermal properties and hydrogen content of lunar regolith. o Study magnetic fields etc. • Bay of Stickiness  (also known as Sinus Viscositatis region) , an area on moon, lies adjacent to Gruitheisen Domes near Oceanus Procellarum, or Ocean of Storms."
180,7.11. 4. SMART LANDER FOR,
181,INVESTIGATING MOON (SLIM),"• Japanese spacecraft  SLIM landed on the moon, making Japan the fifth country to reach the lunar surface. o The other four countries are India , United  States , Russia , and China . • About SLIM o It successfully demonstrated pinpoint technology for landing. ✓ This technology enables landing within 100 m of a target. ✓ Because of achieving this feat, it is also referred as Moon Sniper . o Objective: Acceleration of the study of the Moon and planets using lighter exploration systems. o Agency : Japanese Aerospace Exploration Agency"
182,(JAXA),
183,7.11. 5. GSAT -20,"• India to use SpaceX Falcon -9 Rocket to Launch Communications Satellite GSAT -20 in 2024 • For the first time, NewSpace India Limited (NSIL) will launch a communication satellite on a SpaceX rocket. • About GSAT -20 (Renamed as GSAT -N2) o GSAT -20 is a high - throughput Ka-band Satellite which will be fully owned, operated and funded by"
184,NSIL.,"o The satellite, weighing 4700 kg , has been specifically designed to meet the demanding service  needs of remote and unconnected regions. ✓ It is much heavier  than launch capacity of ISRO’s most powerful rocket; LVM -3 (which can launch spacecraft weighing up to 4000 kg into Geosynchronous Transfer Orbit).  o GSAT -20 will be the second “demand driven” satellite launch  enabled by NSIL. ✓ Previously, NSIL successfully undertook its 1st Demand -driven satellite mission , GSAT -24, with TataPlay purchasing  its capacity for Direct -To-Home broadcasting. • According to India's 2020 space sector reforms , NSIL is required to build, launch, own, and operate satellites in a ""Demand -driven mode."" o In the ""Demand -driven"" mode , when a satellite is launched, it is known in advance who the end customers will be. o Previously, the mode was more ""supply -driven ,"" where capacity was leased after the satellite launch. NewSpace India Limited (NSIL) • NSIL (incorporated in March 2019)  is commercial arm of ISRO. • It is a Central Public Sector Enterprise  under the Department of Space. • Presently, NSIL owns and operates 11 communication satellites in orbit ."
185,7.11. 6. FEAST (FINITE ELEMENT,
186,ANALYSIS OF STRUCTURES),"• Vikram Sarabhai Space Centre (VSSC), ISRO developed FEAST, a Finite Element Analysis (FEA) software. ○ FEA is a  computerized method for predicting how a product reacts to real -world forces. • FEAST will be used to perform FEA of  various types of structures including rockets, aircraft, satellites, buildings, etc.   107                                                                                          www.visionias.in                                                                                    ©Vision IAS  ○ So far, users have mostly  depended on expensive software versions from foreign firms for this function. • VSSC, Thiruvananthapuram ( Kerala) , is the lead centre of ISRO responsible for the design and development of launch vehicle technology ."
187,7.11. 7. KILONOVA EXPLOSION,• A team of researchers have developed a method to model the kilonova explosion. • About  Kilonova Explosion: o A kilonova  is a bright blast of electromagnetic radiation  that happens when two neutron stars or a neutron star and a stellar -mass black hole  collide and merge. o A neutron star is formed  when a star having a mass more than 1.44 times that of the Sun  (as per Chandrasekhar limit ) blows off its gaseous envelope in a supernova explosion. ✓ They are among the densest objects in the cosmos.
188,7.11. 8. CHAMELEON TROJAN,• Cyber security researchers have issued a warning about this new malware. • Chameleon Trojan attaches itself to legitimate Android apps  to avoid detection and runs code in the background . o It uses  'Accessibility service' on Android devices to disable biometric authentication methods like fingerprint and face unlock to steal the phone’s
189,PIN.,"o It uses stolen PIN to unlock the device and steal more sensitive information  like credit card passwords, login credentials, etc."
190,7.11.9. DIRECT -TO-CELL,"• SpaceX , an American company, launched the first batch of Starlink satellites with “Direct -to-Cell” capabilities . • Direct -to-Cell satellites have an advanced eNodeB modem  onboard that acts like a cellphone tower in space . o Current communication system is based on the land based tower for transferring signals. • It allows Starlink to deliver direct satellite broadband connectivity on smartphones anywhere on Earth. • It will also connect  Internet of Things (IoT)  devices with common LTE (Long -Term Evolution) standards. o IoT refers to a network of physical devices embedded with sensors, software and network connectivity  that allows them to collect and share data.  7.11.1 0. REVISED PHARMA"
191,MANUFACTURING RULES,"• Ministry of Health and Family Welfare (MoHFW) notified revised pharma manufacturing rules. • Rules will ensure good manufacturing practices  (GMP) and requirements of premises, plant, and equipment for pharmaceutical products. o Revised rules are notified under Schedule M of the Drugs and Cosmetics Rules, 1945  and will be called Drugs (Amendment) Rules, 2023. o Schedule M prescribes GMP for pharmaceutical products  and includes requirements of facilities and their maintenance , personnel, manufacture, control and safety testing,  storage and transport of material, written procedures and records, traceability, etc • Key highlights of the revised rules o Include new categories of drugs:  pharmaceutical products containing hazardous substances such as sex hormones, steroids, cytotoxic substances; biological products; radiopharmaceuticals; phytopharmaceuticals; and investigational pharmaceutical products for clinical trials for humans. o Implementation:  6 and 12 months for large manufacturers (over Rs 250 crore turnover) and MSMEs (less than Rs 250 crore turnover) respectively. o Provision for  informing the licensing authority about drug recall  (presently no such mechanism for informing). o Other changes introduced:  A pharmaceutical quality system, quality risk management, a computerised storage system for all drug products etc. About GMP • GMP ensures that products are consistently produced and controlled  according to set quality standards. • WHO has established detailed guidelines for GMP . • In India, GMP system was first incorporated in 1988  in Schedule M  of Drugs and Cosmetics Rules, 1945, and were revised in 2018 , bringing them on par with WHO standards ."
192,7.11.1 1. HAVISURE: INDIGENOUSLY,
193,DEVELOPED HEPATITIS A VACCINE,"• Havisure -India’s first indigenously developed Hepatitis A vaccine launched. • Havisure was developed by  Indian Immunologicals Ltd (IIL),  a wholly -owned subsidiary of National Dairy Development Board (NDDB). 108                                                                                          www.visionias.in                                                                                    ©Vision IAS  • Havisure is a two-dose vaccine  wherein first dose is administered at above 12 months of age  and second dose is given at least after 6 months of the first dose . o It is also recommended for individuals who are at risk of exposure or travel to the regions with high hepatitis A prevalence. • Hepatitis  is an inflammation of liver that is caused by a variety of infectious viruses  and non-infectious agents. o There are five main strains of hepatitis  virus i.e . A, B, C, D and E.    • Initiatives taken to prevent Hepatitis o National Viral Hepatitis Control Program 2019  to eliminate Hepatitis C in India by 2030 . o Mission Indradhanush 2014  provides vaccination against Hepatitis B  along with 7 other infections. o World Hepatitis Day  (28 July every year)."
194,7.11. 12. ‘SMART 2.0’ FOR AYURVEDA,
195,TEACHING PROFESSIONALS,• Two prominent institutions under Ministry of Ayush namely National Commission for Indian System of Medicine (NCISM) and Central Council for Research in Ayurvedic Sciences (CCRAS)  have launched 'SMART 2.0'. • SMART 2.0  (Scope for Mainstreaming Ayurveda Research in Teaching Professionals) Program ○ It aimed to promote robust clinical studies in priority areas of Ayurveda with Ayurveda academic institutions/ hospitals across the country through mutual collaboration. • Earlier launched SMART 1.0 aimed to boost scientific research in priority healthcare research areas through Ayurveda  colleges and hospitals.
196,7.11.1 3. WHO’S INTERNATIONAL,
197,CLASSIFICATION OF DISEASES 11 (ICD -,"11) • WHO’s International Classification of Diseases 11 (ICD - 11) now introduced Module 2 (ICD 11 TM 2). • Module 2  of the supplementary chapter on traditional medicine conditions under ICD 11 is dedicated to Ayurveda , Siddha, and Unani (ASU) data and terminology. ○ It encompasses  more than 500 codes. Infectious diseases like Malaria  and lifestyle diseases like chronic insomni a are also included. • ICD is the international standard  for systematic recording, reporting, analysis, interpretation, and comparison of mortality and morbidity data . ○ It also includes a dedicated chapter on traditional medicine. ○ Previously, ICD-11 included Module -1 which covers traditional medicine conditions originating in ancient China, which is now commonly used in Japan, Korea  etc. ○  ICD-11 came into effect in January 2022. • Significance of ICD -11 ○ Provides a list of diagnostics categories to collect and report on traditional medicine conditions in an internationally comparable manner.  109                                                                                          www.visionias.in                                                                                    ©Vision IAS  ○   Link traditional medicine practices with global conventional medicine’s norms  and standard development. ○  Enable integration of traditional medicine into insurance coverage and reimbursement systems , in line with WHO objectives relating to universal health coverage."
198,7.11.1 4. WHO REPORT ON PREVALENCE,
199,OF TOBACCO USE,"• World Health Organization (WHO) Global report on Trends in prevalence of Tobacco use 2000 –2030 released. • India is world's second biggest tobacco producer  after China. o Globally, there are  1.25 billion adult tobacco users. o Nearly 267 million adults  (15 years and above) in India are users of tobacco. o Major tobacco producing states : Gujarat, Andhra Pradesh, Uttar Pradesh, Karnataka, West Bengal, Telangana, and Bihar. o Tobacco is a drought -tolerant , hardy and short - duration crop  which can be grown on soils where other crops cannot be cultivated profitably. • Key findings of report o Decline in tobacco use with about 1 in 5 adults worldwide consuming  tobacco in 2022 compared to 1 in 3 in 2000. o At least 37 million adolescents  aged 13 –15 years are current users of some form of tobacco  – 25 million boys and 12 million girls. • Impact of Tobacco use o Kills more than 8 million people each year due to risk of heart disease, lung disorders, cancer etc., including an estimated 1.3 million non -smokers who are exposed to second -hand smoke. o As per WHO, smoking  costs  world's economies more than US$ 1 trillion annually  in healthcare expenditure and lost productivity . o Deforestation due to its cultivation. • India’s initiatives to control Tobacco use: National Tobacco Control Programme, Prohibition of Electronic Cigarettes Act, 2019, Cigarette and Other Tobacco Products Act 2003, National Tobacco Quit Line Services etc. Global Initiatives to control tobacco use • WHO Framework Convention on Tobacco Control (FCTC) adopted in 2003. o India ratified it in 2004 . • MPOWER measures introduced by WHO.      110                                                                                          www.visionias.in                                                                                    ©Vision IAS  7.11.1 5. DISEASE X • World Economic Forum  is set to begin session on novel ‘Disease X’. • About ‘Disease X’ o It is a theoretical term  and ""X"" refers to ""unexpected”. o WHO introduced Disease X in 2018  to represent an unknown pathogen  that could cause a serious international epidemic. o WHO has placed Disease X alongside other high - priority diseases such as Ebola and Zika virus in its awareness campaigns."
200,7.11.1 6. BIO -IMAGING BANK (BIB),"• Mumbai’s Tata Memorial Hospital (TMH), has established a ‘Bio -Imaging Bank’ for cancer. o Through it, the hospital is utilizing deep learning and artificial intelligence (AI) to craft a cancer - specific tailored algorithm that aids in early -stage cancer detection . • BIB aims at creating a robust repository encompassing radiology and pathology images . o It will be linked with clinical information, treatment specifics date  etc. o This will be also used for training, validation, and rigorous testing of AI algorithms for early detection of cancer."
201,7.11. 17. NEW TREATMENT REGIMEN FOR,
202,LEPROSY,"• Ministry of Health and Family Welfare announced new treatment regimen for Leprosy. • About Leprosy ( Hansen’s disease) o Cause : It is a chronic infectious disease which is caused by  a type of bacteria called  Mycobacterium leprae. o Affects : Skin, peripheral nerves, mucosa of upper respiratory tract, and eyes. o Transmission mode: Droplets, from the nose and mouth, due to close contact with untreated cases. o Treatment : Curable with  multi drug  therapy. o Classification:  into two types for treatment purposes, ✓ Pauci -Bacillary (PB) cases  have fewer bacteria visible and show no signs of advanced disease in biopsies. ✓ Multibacillary (MB) patients  have visible bacteria and may show signs of more advanced disease in biopsies  • About new treatment regimen announced o Ministry has decided to introduce a three -drug regimen for Pauci -Bacillary (PB) cases of leprosy  in place of a two -drug regimen  for six  months . o Multi -drug therapy (MDT) , as recommended by WHO, consists of three drugs - dapsone, rifampicin and clofazimine. • Recent Steps Taken o National Strategic Plan (NSP) & Roadmap for Leprosy (2023 -27) to achieve zero transmission of leprosy by 2027. o National Leprosy Eradication Programme  a centrally sponsored scheme under National Health Mission. ✓ Nikusth 2.0 Portal,  an integrated portal for leprosy case management. Status of leprosy in India • India has achieved elimination of leprosy as a public health problem  as per WHO criteria of less than 1 case per 10,000 population at National level in 2005. • Prevalence Rate at national level  has decreased to 0.45 per 10,000  population in 2021 -22 as compared  to 0.69 per 10,000 population in 2014 -15."
203,7.11. 18. BUBBLE BABY SYNDROME (BBS),"• A two -month old girl, diagnosed with BBS, became the youngest to receive bone marrow transplant  from a voluntary donor. • BBS, also known medically as Severe Combined Immunodeficiency (SCID) , is a rare genetic disorder affecting the immune system. o A baby with SCID completely lacks a functional immune system and is extremely vulnerable to severe and life -threatening infections. o Babies born with SCID lack white blood cells , including lymphocytes (T -cells and B -cells), which fight infections. o Most common treatment is a stem cell transplant (bone marrow transplant)."
204,7.11. 19. STEEL SLAG ROAD TECHNOLOGY,
205,(SSRT),"• JSW Steel has constructed 1 km long  four lane steel slag road section on NH-66 (Mumbai -Goa). o Earlier, Border Roads Organization  has also constructed a steel slag road in  Arunachal Pradesh. • This project falls under the initiative of the Waste to Wealth and Clean India Campaign  111                                                                                          www.visionias.in                                                                                    ©Vision IAS  • Steel Slag Road Technology o The slag is generated from a steel furnace  burning in the form of molten flux material as an impurity. o Steel slag is a non-metallic, glassy material consisting of calcium, magnesium, manganese, and aluminium silicates and oxides  in various combinations. o During the road construction, steel slag is processed to remove impurities and metal content . o These processed steel slag aggregates exhibit superior mechanical properties  compared to natural aggregates. o The road includes bituminous and cement concrete steel slag  sections on both the right - hand and left -hand carriageways. • Benefits o Cost Efficiency: Steel slag roads offer approximately 30% cost savings  compared to traditional road construction. o Durability: Steel slag's robust properties ensure roads built with it surpass the lifespan of conventional roads. o Abundant Availability: India, as the world's second -largest steel producer , has abundant access to steel slag, facilitating widespread use in infrastructure projects. o Environmental Friendliness: The innovative process significantly reduces greenhouse gas emissions,  contributing to a greener approach in road construction . o SDG 9 Contribution: Embracing steel slag roads contributes to achieving Sustainable Development Goal 9 , promoting resilient infrastructure and sustainable industrialization . o Temperature Resilience: With a melting point over 200 degrees Celsius, steel slag is resistant to temperature variations , suitable for diverse climates ."
206,7.11. 20. ANEEL (ADVANCED NUCLEAR,
207,ENERGY FOR ENRICHED LIFE),"• An American company  has developed a fuel ANEEL (named after India’s scientist, Dr Anil Kakodkar). • ANEEL is a mix Thorium and Uranium  of a certain level of enrichment, called HALEU (High Assay Low Enriched Uranium). ○ HALEU has an enrichment level of   5-20%, whereas most current reactors are enriched up to 5%. • Potential Benefits ○ ANEEL can be used in the existing Pressurized Heavy -Water Reactors (PHWRs)  of India’s nuclear fleet. ○ Reduction in  nuclear waste etc .         112                                                                                          www.visionias.in                                                                                    ©Vision IAS  8. CULTURE"
208,8.1. MITAKSHARA LAW,"Why in the News? Supreme Court ruled that children born from void or voidable marriages  are legitimate for property inheritance  under the Hindu Succession Act (HSA), 1956  which recognizes Mitakshara Law . More on News • The court held that such children be treated as an extended family of a common ancestor  to decide a valid share in the property of the common ancestor. Mitakshara Law • It is one of the two major Hindu law schools (the other being Dayabhaga) that governs the succession of property in Hindu families. • It is based on the commentary on the Yajnavalkya Smriti , written by Vijnaneswara in the 12th century . • It recognizes the concept of coparcenary , which means that ancestral property is jointly held by all male members of the family , and they have equal rights in the property. • Coparcener has no absolute right to transfer his share  because his share is not definite or ascertainable as their shares fluctuate with the births and deaths of the coparceners. • According to this school, a woman could never become a coparcener . o However, the Hindu Succession (Amendment) Act, of 2005 empowered women to become a coparcener  like males in ancestral property. • It is prevalent throughout India , except in some eastern parts where Dayabhaga School is followed. • There are 4 sub -schools of Mitakshara Law : o Dravidian/Madras school of thought, o Maharashtra school of thought, o Banaras school of thought, o Mithila school of thought. o Punjab School Dayabhaga School of Thought • It is based mainly on the Yagnavalkya Smriti commented by Jimutuvahana. • Inheritance is based on the principle of spiritual benefit . It arises by pinda offering,  i.e., rice ball offering to deceased ancestors. • Followed in Bengal and some parts of Assam  only. • It has no sub -school . Mitakshara vs. Dayabhaga schools in coparcenary rights Mitakshara Schools  Dayabhaga School Mitakshara is an orthodox School  Dayabhaga is Reformist School Right of a son by birth in the ancestral property equals to the interest of his father.  Son is entitled to his ancestral property only on the death of his father. Son becomes coparcener right after his birth.  Son becomes coparcener by death of his father. Coparcenary right is applicable to the property of grandfather and great -grandfather.  Father is the absolute owner of his property in his lifetime. One cannot transfer his share to the third party as their share is not definite or ascertainable.  One can transfer his share as they are defined.    113                                                                                          www.visionias.in                                                                                    ©Vision IAS  Related News Sapinda Marriages • Delhi High Court upheld the constitutional validity of the prohibition of marriage between ‘Sapindas’ under the Hindu Marriage Act (HMA), 1955. • The court also said that if the choice of a partner in a marriage is left unregulated , an incestuous relationship may gain legitimacy . • Section 5(v) of the HMA, 1955 prohibits  marriages between Sapindas, unless custom or usage governing each of them permits a marriage between the two. • Sapindas o Under the HMA, 1955 , Sapinda relationship  with any person extends as far as ✓ 3rd generation (inclusive) in the line of ascent through the mother , and ✓ 5th generation (inclusive) in the line of ascent through the father . ✓ The line is traced upwards in each case from the person concerned , who is to be counted as the first generation. o Two persons are said to be sapindas  of each other if – ✓ one is a lineal ascendant of the other  within the limits of the sapinda relationship , or ✓ they have a common lineal ascendant who is within the limits of the sapinda relationship  with reference to each of them."
209,8.2. NEWS IN SHORTS,
210,8.2.1. GEOGRAPHICAL INDICATIONS (GI),
211,TAG,"• 17 products from different states bagged the Geographical Indications (GI) tag States/UTs  GI tagged Products Odisha  Lanjia Saura paintings, Dongaria Kondh shawl, Khajuri Guda, Dhenkanal Magji, Similipal Kai Chutney, Nayagarh Kanteimundi Brinjal, Koraput Kalajeera Rice Arunachal Pradesh  Handmade Carpets, Wancho Wooden Craft, Adi Kekir (Ginger) West Bengal  Tangail Saree, Garad Saree, Korial Saree, Kalonunia Rice, Sundarban Honey Jammu and Kashmir  Ramban Anardana Gujarat  Kachchhi Kharek"
212,8.2.2. SRI VEERABHADRA TEMPLE (OR,
213,LEPAKSHI TEMPLE),"• About Lepakshi temple o Located in Anantapur district of Andhra Pradesh and built -in 16th century  during Vijayanagar empire . o Built in trikutastyle  with three shrines  - Veerabhadra (Lord Shiva Presiding deity ), Papanaseswara and Raghunatha. o Noted for largest monolithic Nandi (bull) statue and Naga -siva-linga with seven -hooded snake . o Fresco paintings  (painting in lime on plaster) on walls and ceilings of mandapas and pradakshinapada depict illustrations from Ramayana and Mahabharata, gods and legendary stories like Parvathi's marriage,  etc. o Placed in UNESCO’s tentative World Heritage Sites list."
214,8.2.3. GURUVAYUR TEMPLE,"• Guruvayur Temple also known  as the  Dwarka of the South,  and is dedicated to Lord Vishnu . o The presiding deity  is depicted in a standing posture with four hand s holding Shankh, Sudarshana Chakra, Lotus and Mace .  It is carved out of stone named  Patala Anjana. o Temple is erected in such a way that first rays of Sun descend directly at the feet of Vishnu. o In 1931 -32, Sathyagraha  was launched under Kelappan (Kerala Gandhi) to secure entry of untouchables into the temple. ✓ It led to Travancore Temple Entry proclamation in 1936. o Temple is also known for Elephant festival."
